"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Francis, Bowden",670102,"TOR","CU","Curveball",-3.2,-5,"160",14,"21","0.444","1","0.617",40,9.5,10,"0.394","0.713","0.502",37.5
"Pepiot, Ryan",686752,"TB","CU","Curveball",0.1,0,"89",3.3,"21","0.105","0.105","0.186",32,33.3,24.1,"0.205","0.357","0.315",58.3
"Ferguson, Tyler",621053,"ATH","FC","Cutter",1.4,2,"111",11.2,"21","0.188","0.188","0.295",25,19,19,"0.238","0.28","0.338",50
"Assad, Javier",665871,"CHC","ST","Sweeper",2.7,2,"73",12.9,"21","0","0","0.067",22.2,14.3,9.7,"0.222","0.339","0.285",25
"DeSclafani, Anthony",543101,"AZ","FF","4-Seam Fastball",-2.6,-3,"114",18,"21","0.316","0.842","0.498",17.5,9.5,8.7,"0.416","0.799","0.497",57.9
"Anderson, Grant",681982,"MIL","CH","Changeup",-3.5,-2,"48",4.1,"21","0.35","0.45","0.367",21.4,9.5,11.1,"0.358","0.496","0.385",61.1
"Early, Connelly",813349,"BOS","CH","Changeup",1.6,1,"63",19.5,"21","0.238","0.238","0.257",23.1,19,17.4,"0.274","0.352","0.272",41.2
"Bummer, Aaron",607481,"ATL","FF","4-Seam Fastball",-1.2,-1,"116",12.4,"21","0.421","0.684","0.495",19.3,19,12.9,"0.375","0.587","0.437",46.7
"Hoglund, Gunnar",680684,"ATH","ST","Sweeper",-3.4,-3,"95",17.4,"21","0.3","0.5","0.36",34.2,14.3,8.8,"0.329","0.612","0.412",47.1
"Criswell, Cooper",681867,"BOS","FC","Cutter",5,4,"82",29.7,"21","0.05","0.05","0.119",14.6,19,16.7,"0.138","0.16","0.158",18.8
"Schmidt, Clarke",657376,"NYY","FF","4-Seam Fastball",1.6,2,"93",7.6,"21","0.167","0.278","0.262",24,38.1,17.8,"0.156","0.21","0.236",30
"Junis, Jakob",596001,"CLE","FF","4-Seam Fastball",-1.5,-1,"91",8.8,"21","0.313","0.625","0.433",16.1,4.8,14.3,"0.292","0.622","0.428",56.3
"McGee, Easton",668834,"MIL","CU","Curveball",1.8,1,"66",29.6,"21","0.15","0.25","0.195",22.2,19,15.4,"0.221","0.3","0.248",56.3
"Rainey, Tanner",663432,"DET","SL","Slider",0.9,1,"95",47.3,"21","0.167","0.222","0.245",58.7,33.3,22.6,"0.203","0.267","0.274",36.4
"Knack, Landon",689017,"LAD","CU","Curveball",-2.6,-3,"104",13.5,"21","0.294","0.471","0.376",14.3,19,16,"0.326","0.501","0.389",60
"King, Michael",650633,"SD","SL","Slider",1.2,1,"69",5.7,"21","0.222","0.278","0.288",25,14.3,21.4,"0.238","0.302","0.3",53.3
